*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=HighVoltageAmplifier
*Date=10:32:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
286;;;59.564;-18.667;0;Bottom;Via159
287;;;28.1517;-67.2571;0;Bottom;Via258
288;;;79.249;-28.192;0;Bottom;Via219
289;;;6.0198;-70.7646;0;Bottom;Copper Fill138
290;220;0805 [SMD];94.1191;-31.6971;180;Top;R6
291;;;2.0574;-6.0327;0;Bottom;Copper Fill235
292;;;6.7818;-24.4096;0;Bottom;Copper Fill192
293;;;5.29157;-26.9347;0;Bottom;Via128
294;;;18.8214;-98.7046;0;Bottom;Copper Fill117
295;;;73.5076;-58.7123;0;Bottom;Copper Fill95
296;220;0805 [SMD];57.2806;-42.4559;180;Top;R4
297;;;57.0656;-31.4751;90;Top;blkr8
298;;;5.969;-68.123;0;Bottom;Copper Fill7
299;;;22.3901;-85.0902;0;Bottom;Copper Fill249
300;;;77.3642;-42.8097;0;Bottom;Via279
301;;;36.0553;-1.5496;0;Bottom;Copper Fill229
302;;;88.6968;-63.297;0;Bottom;Copper Fill141
303;;;101.318;-71.7115;0;Bottom;TXT2
304;;;9.0424;-16.8531;0;Bottom;Copper Fill52
305;;;9.6901;-16.2308;0;Bottom;Copper Fill51
306;100nF;0805 [SMD, multilayer];73.5542;-34.4821;90;Top;C120
307;;;41.7576;-55.5627;0;Bottom;Copper Fill96
308;;;73.152;-12.37;0;Bottom;Copper Fill214
309;;;88.138;-29.0832;0;Bottom;Copper Fill24
310;100nF;0805 [SMD, multilayer];35.0642;-53.2871;0;Bottom;C132
311;;;92.5322;-63.1827;0;Bottom;Copper Fill227
312;220;0805 [SMD];43.0524;-61.8062;90;Top;R5
313;;;93.472;-25.7431;0;Bottom;Copper Fill236
314;;;84.709;-14.8846;0;Bottom;Copper Fill31
315;;;69.6722;-40.2719;0;Bottom;Copper Fill246
316;;;92.9216;-25.6647;0;Bottom;Via220
317;;;1.016;-6.0327;0;Bottom;Copper Fill68
318;220;0805 [SMD];86.5716;-55.2646;-90;Top;R2
319;;;88.1126;-12.3827;0;Bottom;Copper Fill244
320;;;13.3604;-23.1142;0;Bottom;Copper Fill194
321;;;56.0917;-10.1072;0;Bottom;Via141
322;;;59.564;-24.382;0;Bottom;Via156
323;;;45.1104;-25.2732;0;Bottom;Copper Fill185
324;220;0805 [SMD];19.5791;-60.8347;90;Top;R2
325;;;65.6512;-23.1233;-6.36109e-15;Top;blkr9
326;;;32.4866;-49.835;0;Bottom;Copper Fill157
327;;;88.7349;-11.7604;0;Bottom;Copper Fill243
328;;sot23-5;7.19921;-31.667;0;Top;IC3
329;220;0805 [SMD];44.2717;-81.2271;180;Top;R2
330;;;40.5342;-81.2272;0;Bottom;Via269
331;;;32.1945;-50.5208;0;Bottom;Copper Fill79
332;;;31.3048;-65.6887;0;Bottom;Via248
333;;;95.1484;-79.1466;0;Bottom;Copper Fill134
334;;;88.1126;-12.3827;0;Bottom;Copper Fill101
335;;;16.6646;-55.6603;-45;Top;blkr3
336;;;64.5922;-9.2331;0;Bottom;Copper Fill114
337;;;36.83;-28.1942;0;Bottom;Copper Fill183
338;;;5.9182;-65.2782;0;Bottom;Copper Fill11
339;;;87.2066;-24.7122;0;Bottom;Via236
340;;;53.8692;-79.9572;0;Bottom;Via275
341;;SO;41.1474;-51.2107;0;Top;IC1
342;;;102.438;-18.7327;0;Bottom;Copper Fill36
343;220;0805 [SMD];73.6353;-64.9086;45;Top;R3
344;;;29.6545;-51.105;0;Bottom;Copper Fill241
345;;;61.4553;-50.47;0;Bottom;Copper Fill63
346;;;3.0988;-42.6214;0;Bottom;Copper Fill14
347;;;89.1116;-25.3472;0;Bottom;Via237
348;;;4.97407;-66.3046;0;Bottom;Via99
349;;;80.519;-29.462;0;Bottom;Via167
350;;;61.5696;-43.9676;0;Bottom;Copper Fill167
351;;;24.6592;-83.7672;0;Bottom;Via267
352;;;63.6524;-10.338;0;Bottom;Copper Fill212
353;;;91.4635;-5.12726;0;Bottom;IMG2
354;;;66.5226;-4.1531;0;Bottom;Copper Fill41
355;220;0805 [SMD];51.3292;-46.0571;-90;Top;R1
356;;;36.207;-66.1874;0;Top;blkr37
357;;;32.1818;-4.7627;0;Bottom;Copper Fill55
358;;;29.6545;-51.105;0;Bottom;Copper Fill83
359;;;21.3106;-73.3554;0;Bottom;Copper Fill3
360;;;6.0198;-58.0646;0;Bottom;Copper Fill146
361;;;94.7674;-61.1888;0;Bottom;Copper Fill144
362;1M;0805 [SMD];6.87913;-7.00464;-90;Bottom;RP*1
363;;;27.8342;-3.12224;0;Bottom;Via149
364;;SO;31.1362;-81.2271;90;Top;IC1-1
365;;;95.5294;-36.1571;0;Bottom;Copper Fill53
366;;;40.4749;-1.4988;0;Bottom;Copper Fill226
367;;;83.3966;-68.2096;0;Bottom;Via231
368;1M;0805 [SMD];19.5791;-7.00464;-90;Bottom;R50
369;;;9.6901;-30.1754;0;Bottom;Copper Fill64
370;;;6.2992;-21.9458;0;Bottom;Copper Fill196
371;;;93.853;-14.8084;0;Bottom;Copper Fill198
372;;;9.6901;-17.4754;0;Bottom;Copper Fill50
373;100nF;0805 [SMD, multilayer];71.3317;-34.4821;90;Top;C121
374;;;54.864;-34.6458;0;Bottom;Copper Fill173
375;;;1.48157;-5.97974;0;Bottom;Via148
376;0.47µF;0805 [SMD, multilayer];37.3592;-96.3947;90;Top;C2
377;;;33.1724;-35.1792;0;Bottom;Copper Fill169
378;;;56.3753;-40.8942;0;Bottom;Copper Fill99
379;;;31.2801;-66.345;0;Bottom;Copper Fill69
380;100nF;0805 [SMD, multilayer];66.8142;-54.2396;0;Bottom;C138
381;;;13.1064;-49.1746;0;Bottom;Copper Fill156
382;;;103.543;-46.7155;0;Bottom;blkr20
383;;;50.3301;-93.396;0;Bottom;Copper Fill81
384;;;92.8497;-25.1208;0;Bottom;Copper Fill62
385;100nF;0805 [SMD, multilayer];59.5117;-94.5621;0;Bottom;C148
386;;;60.2105;-42.4559;0;Bottom;Via20
387;;;69.4761;-6.52965;0;Bottom;TXT1
388;;;92.8497;-37.77;0;Bottom;Copper Fill87
389;;;93.4974;-38.4431;0;Bottom;Copper Fill88
390;220;0805 [SMD];92.2141;-54.5571;180;Top;R6
391;;;84.6201;-73.711;0;Bottom;Copper Fill46
392;;THT;8.78417;-68.2096;0;Bottom;Data Lines
393;;;29.4217;-92.6572;0;Bottom;Via271
394;;;53.8353;-1.4988;0;Bottom;Copper Fill218
395;;;74.5542;-7.88467;-90;Bottom;DC2
396;;Melf DO-213 AA [SMD];34.7785;-51.038;90;Top;D1
397;;1206 [SMD];36.089;-3.55231;-90;Top;Power
398;220;0805 [SMD];94.1916;-66.3771;90;Top;R1
399;220;0805 [SMD];16.7216;-96.7122;90;Top;R1
400;;;28.7528;-92.6975;0;Bottom;Copper Fill78
401;100nF;0805 [SMD, multilayer];54.4317;-94.5621;0;Bottom;C145
402;;;68.3768;-51.1558;0;Bottom;Copper Fill153
403;;SO;57.6706;-51.1554;0;Top;IC1
404;;;9.73657;-29.4747;0;Bottom;Via155
405;;;6.50025;-70.8756;0;Bottom;IMG4
406;;;103.734;-71.5012;0;Bottom;Copper Fill5
407;;;97.2592;-90.4346;0;Bottom;C100
408;;SO;29.8662;-93.9271;90;Top;IC1
409;1M;0805 [SMD];22.1191;-7.00464;-90;Bottom;R48
410;;;55.3974;-16.8531;0;Bottom;Copper Fill219
411;220;0805 [SMD];55.0667;-78.3696;180;Top;R3
412;;;76.0349;-14.2496;0;Bottom;Copper Fill253
413;;;42.5704;-24.3334;0;Bottom;Copper Fill184
414;;;3.048;-66.4212;0;Bottom;Copper Fill9
415;220;0805 [SMD];36.089;-8.98471;-90;Top;R8
416;;;15.9743;-22.4896;90;Top;IC2
417;220;0805 [SMD];48.1542;-69.4071;90;Top;R3
418;;;13.6652;-25.5526;0;Bottom;Copper Fill191
419;220;0805 [SMD];59.5117;-78.3696;180;Top;R6
420;;;97.2592;-82.0347;0;Bottom;C102
421;;;69.4685;-4.08081;0;Bottom;TXT1
422;;;57.3617;-66.9396;0;Bottom;Via260
423;;Melf DO-213 AA [SMD];51.3017;-52.8877;90;Top;D1
424;;;19.57;-31.3504;0;Bottom;Via162
425;;;29.3878;-80.6579;0;Bottom;Copper Fill82
426;;;48.1076;-22.5046;0;Bottom;Copper Fill28
427;;;15.7691;-38.3647;0;Bottom;Via108
428;;;61.722;-49.7842;0;Bottom;Copper Fill158
429;;;91.9691;-63.1297;0;Bottom;Via228
430;;;1.016;-6.0327;0;Bottom;Copper Fill234
431;;;25.2942;-76.4647;0;Bottom;Via282
432;220;0805 [SMD];86.5716;-31.4521;-90;Top;R2
433;;;29.9974;-82.2962;0;Bottom;Copper Fill129
434;;;47.7012;-26.213;0;Bottom;Copper Fill186
435;0.47µF;0805 [SMD, multilayer];51.3292;-57.8046;-90;Top;C2
436;;;39.1414;-51.232;0;Bottom;Copper Fill152
437;;;58.3057;-2.8704;0;Bottom;Copper Fill39
438;100nF;0805 [SMD, multilayer];40.1442;-55.5096;0;Bottom;C136
439;;;6.0198;-50.4446;0;Bottom;Copper Fill155
440;;;31.2767;-7.24963;-90;Bottom;P1
